page,local_id,label,problem_set_id,problem_count
/vocab/sets/set-1,set-1,Vocab Set 1: Passenger Assistance & Accessibility — Part 1,jh7b6s39a6fjp2s7cb92yp1vkh8948s9,20
/vocab/sets/set-2,set-2,Vocab Set 2: Passenger Assistance & Communication — Part 2,jh7dg1vwd0ej4d31010jk9k4r98954en,20
/vocab/sets/set-3,set-3,"Vocab Set 3: Child, Seatbelt & School Transport Safety",jh79f18aw8b22g4rv0r5n7av89894xy3,20
/vocab/sets/set-4,set-4,Vocab Set 4: Traffic Safety & Driving Rules,jh7at8kyrz4tyqk9qn44ds5xex894yhm,20
/vocab/sets/set-5,set-5,"Vocab Set 5: Police, Emergency & Risky Behaviour",jh721pnrevye23j5ca13ka3mc5895dhz,20
/vocab/sets/set-6,set-6,"Vocab Set 6: Payment, Receipt, Kela & Fare",jh720x35bv3zzja5d4rc19f28989448f,20
/vocab/sets/set-7,set-7,"Vocab Set 7: Trip, Route, Luggage & Useful Action Words",jh7904pjhkekkem80y8mncc6f5895bhc,20
/vocab/sets/set-8,set-8,"Vocab Set 8: Licence, Duties & Legal Rules",jh75j171y2ja9j3xj9k7wr2eh1894ar1,20
/vocab/sets/set-9,set-9,"Vocab Set 9: Passenger Service, Communication & Complaints",jh75nvtpwexaj6bgnpcts2j96h894awt,20
/vocab/sets/set-10,set-10,Vocab Set 10: Conjunctions,jh7cy9j62wza1cj118z5561nkx895vcd,10
/vocab/sets/set-11,set-11,Vocab Set 11: WH / Question Words,jh7230afrgvygg4jpy29yaeexd8949nf,10
/clue/positive,positive,Clue Words: Positive clue words,jh7946ndq1cvpg0skx20f95twx894wd1,15
/clue/negative,negative,Clue Words: Negative clue words,jh75nw4chw3m4h61ezqrkhy3ad894gtx,15
/model-test/mt1,mt1,Model Test 1,jh7955se50hb4p96zjzjjwx061895fds,50
/model-test/mt2,mt2,Model Test 2,jh7ehnn76xc9426rk3dmrm22xs894tfm,50
/model-test/mt3,mt3,Model Test 3,jh762x3k8cnkxbscrbck0xweg5895s4j,50
/model-test/mt4,mt4,Model Test 4,jh7aavtstjv0gq6c2qybfj75j9895wq7,50
/model-test/mt5,mt5,Model Test 5,jh7fj2m1qn45x7yp5qtxv2kkyx8944v7,50
/topic/passenger_safety/lessons/passenger_safety__seatbelt-child-safety,passenger_safety__seatbelt-child-safety,Taking care of passenger assistance and safety - Seatbelt & Child Safety,jh70g16y2mqs8e716ebzm6vw9s894j2r,44
/topic/passenger_safety/lessons/passenger_safety__passenger-assistance-safe-exit,passenger_safety__passenger-assistance-safe-exit,Taking care of passenger assistance and safety - Passenger Assistance & Safe Exit,jh72m9gqdt1b7b10bnpnyvmycn894d05,24
/topic/passenger_safety/lessons/passenger_safety__school-daycare-transport-safety,passenger_safety__school-daycare-transport-safety,Taking care of passenger assistance and safety - School & Daycare Transport Safety,jh71qm8f63hpx6v45d07nvnrnd894xb4,10
/topic/passenger_safety/lessons/passenger_safety__general-taxi-driver-responsibility,passenger_safety__general-taxi-driver-responsibility,Taking care of passenger assistance and safety - General Taxi Driver Responsibility,jh78h4hx96nvsrfdqd12868kqn8958wp,6
