Question ID,Topic,Ref #,Question (FI),Question (EN),Option A (FI),Option A (EN),Option B (FI),Option B (EN),Option C (FI),Option C (EN),Correct (A/B/C),Focus words (FI),Focus words (EN),Positive clues (FI),Positive clues (EN),Negative clues (FI),Negative clues (EN),Explanation (EN),Difficulty,Tags,Status,Reviewer notes
Q001,Turvavyö / lapsi / turvalaite,M10,"Kuinka sinun tulee toimia, jos ilman aikuista matkustava alle 15-vuotias lapsi irrottaa turvavyönsä matkan aikana eikä suostu kiinnittämään sitä?",How should you act if a child under 15 travelling without an adult removes their seat belt during the journey and refuses to fasten it?,"Pysäytät ajoneuvon ja keskustelet asiasta. Jatkat matkaa vasta sitten, kun lapsen turvavyö on kiinni.",You stop the vehicle and discuss the matter. You continue the journey only when the child’s seat belt is fastened.,"Pysäytät ajoneuvon ja varoitat lasta, että poistat hänet autosta, ellei hän kiinnitä turvavyötä.",You stop the vehicle and warn the child that you will remove them from the car if they do not fasten the seat belt.,Annat lapsen matkustaa ilman turvavyötä ja ilmoitat asiasta hänen huoltajalleen.,You allow the child to travel without a seat belt and inform their guardian about it.,A,ilman aikuista; alle 15-vuotias lapsi; irrottaa turvavyönsä; eikä suostu,without an adult; child under 15; removes the seat belt; refuses to,Pysäytät ajoneuvon; keskustelet; vasta sitten; turvavyö on kiinni,stop the vehicle; discuss; only then; seat belt is fastened,poistat hänet autosta; ilman turvavyötä; ilmoitat asiasta hänen huoltajalleen,remove them from the car; without a seat belt; inform the guardian,"This is a child seat-belt responsibility question. The Finnish focus words ilman aikuista, alle 15-vuotias lapsi and turvavyö show that the driver must make sure the child uses the belt. The correct answer uses Pysäytät ajoneuvon, keskustelet and vasta sitten, meaning you stop, discuss, and continue only after the belt is fastened. Threatening to remove the child or allowing travel ilman turvavyötä are wrong-answer clues.",Medium,seatbelt; child; under 15; driver responsibility,Ready,
Q002,Turvavyö / lapsi / turvalaite,M100,Mihin asti yksin matkustavan lapsen turvavyön käytöstä vastuu on taksinkuljettajalla?,Until what age is the taxi driver responsible for the seat-belt use of a child travelling alone?,12 ikävuoteen asti.,Until the age of 12.,15 ikävuoteen asti.,Until the age of 15.,18 ikävuoteen asti.,Until the age of 18.,B,yksin matkustavan laps; turvavyön käytöstä; vastuu; taksinkuljettajalla,child travelling alone; seat-belt use; responsibility; taxi driver,15 ikävuoteen asti,until the age of 15,12 ikävuoteen asti; 18 ikävuoteen asti,until the age of 12; until the age of 18,"The key Finnish words are yksin matkustava lapsi, turvavyön käytöstä and vastuu. They point to the rule about a child travelling alone. The positive clue is 15 ikävuoteen asti: the taxi driver is responsible until the child is 15. The numbers 12 and 18 are trap answers.",Easy,seatbelt; child; age limit; responsibility,Ready,
Q003,Turvavyö / lapsi / turvalaite,M102,Missä tilanteessa kuljettajan ei tarvitse käyttää turvavyötä?,In which situation does the driver not need to use a seat belt?,Kuljettajan ei tarvitse käyttää turvavyötä yöaikaan ajaessa asiakkaan ollessa kyydissä.,The driver does not need to use a seat belt when driving at night while a customer is in the vehicle.,Kuljettajan tarvitsee ajaessaan aina käyttää turvavyötä.,The driver must always use a seat belt while driving.,Kuljettajan ei tarvitse käyttää turvavyötä koulukyytejä ajaessaan.,The driver does not need to use a seat belt when driving school rides.,B,ei tarvitse käyttää turvavyötä; kuljettaja; missä tilanteessa,does not need to use a seat belt; driver; in which situation,aina käyttää turvavyötä; tarvitsee,always use the seat belt; must/needs to,ei tarvitse; yöaikaan; koulukyytejä,does not need; at night; school rides,"The question is built around the negative phrase ei tarvitse käyttää turvavyötä. The safe exam answer is not an exception but the rule: kuljettajan tarvitsee ajaessaan aina käyttää turvavyötä. In the wrong options, ei tarvitse with yöaikaan or koulukyytejä is a negative clue because the driver should not treat those as excuses to skip the seat belt.",Medium,seatbelt; driver; exception; negative wording,Ready,
Q004,Avustaminen / turvallinen poistuminen,M12,"Asiakas pyytää sinua pysähtymään vilkkaasti liikennöidyllä tiellä, jotta hän voi jäädä pois kyydistä. Mikä seuraavista tilannetta koskevista väittämistä on oikein?",A customer asks you to stop on a busy road so that they can get out of the taxi. Which statement about the situation is correct?,"Jos paikka ei ole turvallinen pysähtymiselle etsit toisen paikan, koska vastuullasi on asiakkaan turvallinen ajoneuvosta poistuminen.","If the place is not safe for stopping, you find another place because you are responsible for the customer’s safe exit from the vehicle.","Vaikka paikka ei ole turvallinen pysähtymiselle voit pysähtyä, koska asiakkaalla on oikeus valita pysähtymispaikka.","Even if the place is not safe for stopping, you may stop because the customer has the right to choose the stopping place.","Asiakkaalla on velvollisuus maksaa mahdollinen sakkoksu, mikäli hän on pyytänyt pysähtymään kielletyssä paikassa.",The customer has the duty to pay any possible fine if they asked you to stop in a prohibited place.,A,pysähtymään; vilkkaasti liikennöidyllä tiellä; jäädä pois kyydistä,to stop; on a busy road; to get out of the ride,ei ole turvallinen; etsit toisen paikan; vastuullasi; turvallinen ajoneuvosta poistuminen,is not safe; find another place; your responsibility; safe exit from the vehicle,oikeus valita; mahdollinen sakkoksu; kielletyssä paikassa,right to choose; possible fine; in a prohibited place,"This is a safety-over-customer-choice question. The focus words pysähtymään, vilkkaasti liikennöidyllä tiellä and jäädä pois kyydistä tell you the passenger wants to exit in a risky place. The correct answer includes ei ole turvallinen, etsit toisen paikan and vastuullasi. The wrong-answer clue oikeus valita is dangerous here because the customer’s wish does not override safe stopping.",Medium,safe stopping; passenger exit; responsibility; customer choice,Ready,
Q005,Paarit / kiinnitys,M15,"Mikä seuraavista on paras tapa kiinnittää kyydissä oleva asiakas, kun hän on paareilla selinmakuulla?",What is the best way to secure a customer in the taxi when they are lying on their back on a stretcher?,"Hartiavyöllä, lantiovyöllä ja jalkavyöllä.","With a shoulder belt, lap belt, and leg belt.",Hartiavyöllä ja lantiovyöllä.,With a shoulder belt and lap belt.,Lantiovyöllä ja jalkavyöllä.,With a lap belt and leg belt.,A,kiinnittää; paareilla; selinmakuulla; asiakas,secure/fasten; on a stretcher; lying on the back; customer,Hartiavyöllä; lantiovyöllä; jalkavyöllä,with shoulder belt; with lap belt; with leg belt,Hartiavyöllä ja lantiovyöllä; Lantiovyöllä ja jalkavyöllä,shoulder and lap only; lap and leg only,"The question asks for the paras tapa to secure a stretcher passenger. The Finnish focus words paareilla and selinmakuulla show that normal seating rules are not enough. The correct option has all three positive clue words: Hartiavyöllä, lantiovyöllä and jalkavyöllä. The other options are incomplete because one belt type is missing.",Easy,stretcher; belts; securement; passenger safety,Ready,
Q006,Turvavyö / lapsi / turvalaite,M18,Kuka vastaa asiakkaan turvavyön käytöstä kun 14-vuotias Anna kulkee viikoittain yksin tanssiharrastuksestaan kotiin Kuopion keskustasta läheiselle pientaloalueelle?,Who is responsible for the customer’s seat-belt use when 14-year-old Anna travels weekly alone from her dance hobby back home from Kuopio city centre to a nearby residential area?,Anna itse Anna herself.,Anna herself.,Taksinkuljettaja.,The taxi driver.,Taksissa asiakkaan turvavyön käyttö on aina vapaaehtoista.,"In a taxi, the customer’s use of a seat belt is always voluntary.",B,14-vuotias; yksin; kuka vastaa,14-year-old; alone; who is responsible,,,aina vapaaehtoista,always voluntary,"The focus words 14-vuotias and yksin make this a child travelling alone case. Because Anna is under 15, the responsibility for turvavyön käyttö belongs to the taksinkuljettaja. Anna itse and aina vapaaehtoista are negative clues because the responsibility is not simply left to the child and seat-belt use is not always voluntary.",Easy,seatbelt; child; under 15; responsibility,Ready,
Q007,Matkustajan turvallisuus,M20,Miten alkolukkoa tulee käyttää koulu- ja päivähoitokuljetuksissa?,How must an alcohol interlock be used in school and daycare transports?,Poikkeustapauksissa taksiluvan haltijalla on oikeus olla käyttämättä alkolukkoa.,"In exceptional cases, the taxi licence holder has the right not to use the alcohol interlock.","Jos ajoneuvo ei käynnisty, kuljettaja voi vaihtaa sellaiseen ajoneuvoon jossa ei ole alkolukkoa.","If the vehicle does not start, the driver may change to a vehicle that does not have an alcohol interlock.","Koulu- ja päivähoitokuljetuksissa tulee aina käyttää ajoneuvoa, johon on asennettu alkolukko.","In school and daycare transports, a vehicle with an installed alcohol interlock must always be used.",C,alkolukkoa; koulu- ja päivähoitokuljetuksissa; tulee käyttää,alcohol interlock; in school and daycare transports; must use,tulee aina käyttää; asennettu alkolukko,must always use; installed alcohol interlock,oikeus olla käyttämättä; ei ole alkolukkoa,right not to use; does not have an alcohol interlock,The focus words alkolukkoa and koulu- ja päivähoitokuljetuksissa signal a strict safety rule. The positive clue is tulee aina käyttää together with asennettu alkolukko: always use a vehicle with the alcohol interlock installed.oikeus means right and ei ole alkolukkoa are negative clues because they create unsafe exceptions.,Easy,alcohol interlock; school transport; daycare; safety,Ready,
Q008,Avustaminen / turvallinen poistuminen,M24,Mitä taksinkuljettajan tulee ottaa huomioon matkustajan poistuessa taksista liukkaalla kelillä?,What should the taxi driver take into account when a passenger exits the taxi in slippery weather?,Tulee nousta autosta ja tarvittaessa auttaa matkustajaa.,The driver must get out of the car and help the passenger if necessary.,Tulee ainoastaan varoittaa matkustajaa liukkaudesta.,The driver only needs to warn the passenger about the slipperiness.,"Ei mitään, koska kuljettajan vastuu ei ulotu taksin ulkopuolelle.","Nothing, because the driver’s responsibility does not extend outside the taxi.",A,poistuessa taksista; liukkaalla kelillä; matkustaja,when exiting the taxi; in slippery weather; passenger,nousta autosta; tarvittaessa auttaa,get out of the car; help if necessary,ainoastaan varoittaa; Ei mitään; vastuu ei ulotu,only warn; nothing; responsibility does not extend,This question is about safe passenger exit. The Finnish focus words poistuessa taksista and liukkaalla kelillä show that falling/slipping risk matters. The correct answer uses nousta autosta and tarvittaessa auttaa. The negative clues ainoastaan varoittaa and Ei mitään are too passive because the driver may need to actively help.,Easy,safe exit; slippery weather; assistance; responsibility,Ready,
Q009,Turvavyö / lapsi / turvalaite,M30,"Kuinka sinun tulee ensisijaisesti toimia, jos koulukuljetuksessa oleva oppilas ei kehotuksestasi huolimatta kiinnitä turvavyötä?",How should you primarily act if a pupil in school transport does not fasten the seat belt despite your instruction?,Tulee kieltäytyä kuljettamasta oppilasta ja poistaa hänet autosta.,You should refuse to transport the pupil and remove them from the car.,Tulee antaa hänen matkustaa ilman turvavyötä ja ottaa jälkeenpäin yhteyttä kouluun tai vanhempiin.,You should allow them to travel without a seat belt and contact the school or parents afterwards.,"Tulee keskustella oppilaan kanssa ja lähteä ajamaan vasta sitten, kun hän on kiinnittänyt turvavyön.",You should discuss the matter with the pupil and start driving only after they have fastened the seat belt.,C,ensisijaisesti; koulukuljetuksessa; oppilas; ei kehotuksestasi huolimatta kiinnitä turvavyötä,primarily; in school transport; pupil; does not fasten the seat belt,keskustella oppilaan kanssa; vasta sitten; kiinnittänyt turvavyön,discuss with the pupil; only then; has fastened the seat belt,kieltäytyä kuljettamasta; poistaa hänet autosta; ilman turvavyötä; jälkeenpäin,refuse to transport; remove them from the car; without a seat belt; afterwards,"The question asks for the ensisijaisesti action, meaning the primary/best first response. With a school-transport pupil who does not kiinnitä turvavyötä, the correct approach is keskustella and drive vasta sitten when the belt is fastened. Removing the pupil or letting them travel ilman turvavyötä and reporting jälkeenpäin are wrong clues.",Medium,school transport; pupil; seatbelt; first action,Ready,
Q010,Turvavyö / lapsi / turvalaite,M35,Mitä turvavyön käytöstä on määrätty koskien koulukuljetuksia?,What has been prescribed about seat-belt use concerning school transports?,Takapenkillä oppilaan ei tarvitse käyttää turvavyötä.,A pupil on the back seat does not need to use a seat belt.,Kuljettajan ei tarvitse käyttää turvavyötä.,The driver does not need to use a seat belt.,Kuljettajan tulee käyttää turvavyötä.,The driver must use a seat belt.,C,turvavyön käytöstä; määrätty; koulukuljetuksia,seat-belt use; prescribed/ordered; school transports,Kuljettajan tulee käyttää turvavyötä,the driver must use a seat belt,ei tarvitse käyttää; Takapenkillä; Kuljettajan ei tarvitse,does not need to use; on the back seat; the driver does not need,The focus words turvavyön käytöstä and koulukuljetuksia point to a strict school-transport safety rule. The positive clue is tulee käyttää turvavyötä. The negative clue ei tarvitse is a common trap here: the answer should not remove the seat-belt duty from the pupil or the driver.,Easy,school transport; seatbelt; driver duty; negative wording,Ready,
