Question ID,Topic,Ref #,Question (FI),Question (EN),Option A (FI),Option A (EN),Option B (FI),Option B (EN),Option C (FI),Option C (EN),Correct (A/B/C),Focus words (FI),Focus words (EN),Positive clues (FI),Positive clues (EN),Negative clues (FI),Negative clues (EN),Explanation (EN),Difficulty,Tags,Status,Reviewer notes
Q092,Erityisryhmä / kommunikointi,M1,"Asiakkaana on henkilö, joka ei kykene kommunikoimaan kuljettajan kanssa. Mitä kuljettajalta vaaditaan?",The customer is a person who cannot communicate with the driver. What is required of the driver?,"Taksinkuljettajalta edellytetään, että asiakas pääsee oikeaan määränpäähän.",The taxi driver is required to ensure the customer reaches the correct destination.,Taksinkuljettajalta edellytetään asiakkaiden kanssa saman kielen osaamista.,The taxi driver is required to speak the same language as the customer.,Taksinkuljettajalta edellytetään poikkeuslupaa kuljetuksen suorittamiseen.,The taxi driver is required to have an exemption permit to carry out the transport.,A,ei kykene kommunikoimaan kuljettajan kanssa,cannot communicate with the driver,asiakas pääsee oikeaan määränpäähän,the customer reaches the correct destination,saman kielen osaamista; poikkeuslupaa,speaking the same language; an exemption permit,"Regardless of communication barriers, the driver must ensure the customer reaches their destination (A). Speaking the same language (B) is not a legal requirement, and no special permit is needed (C).",Medium,communication; special needs; destination,ai-draft,
Q093,Kuuro / kuulovammainen,M21,Mitä sinun tulee ottaa huomioon kuuron asiakkaan kanssa ennen liikkeellelähtöä?,What must you take into account with a deaf customer before setting off?,Pimeällä autossa tulisi pitää sisävalot päällä kommunikointitilanteissa.,"In the dark, the interior light should be kept on in communication situations.",Pimeällä asiakkaalle tulee puhua kovemmalla äänellä kuin valoisalla.,"In the dark, you should speak more loudly to the customer than in daylight.","Pimeällä kommunikointi on mahdotonta, joten sitä ei kannata yrittää lainkaan.","Communication in the dark is impossible, so it is not worth trying at all.",A,kuuron asiakkaan kanssa; ennen liikkeellelähtöä,with a deaf customer; before setting off,sisävalot päällä kommunikointitilanteissa,interior light on in communication situations,puhua kovemmalla äänellä; kommunikointi on mahdotonta,speak more loudly; communication is impossible,"A deaf person lip-reads and uses visual cues, so keeping the interior light on in darkness allows communication (A). Speaking louder (B) helps a hard-of-hearing person, not a deaf one. Declaring communication impossible (C) is both incorrect and unhelpful.",Medium,deaf; communication; interior light; hearing impaired,ai-draft,
Q094,Liikuntarajoitteinen / avustaja,M22,"Kuinka sinun tulee toimia saattaessasi kotiin asiakasta, joka ei kykene huolehtimaan itsestään, kun sovittu avustaja EI ole vastaanottamassa häntä?","How must you act when escorting home a customer who cannot look after themselves, and the agreed assistant is NOT there to receive them?",Sinun tulee aina viedä asiakas takaisin lähtöpaikkaansa.,You must always take the customer back to their starting point.,Voit jättää asiakkaan esimerkiksi naapurin luokse.,"You may leave the customer with, for example, a neighbour.","Sinun tulee odottaa asiakkaan kanssa, kunnes avustaja saapuu paikalle.",You must wait with the customer until the assistant arrives.,C,ei kykene huolehtimaan itsestään; avustaja EI ole vastaanottamassa,cannot look after themselves; the assistant is NOT there to receive them,"odottaa asiakkaan kanssa, kunnes avustaja saapuu",wait with the customer until the assistant arrives,aina viedä asiakas takaisin lähtöpaikkaansa; jättää asiakkaan esimerkiksi naapurin luokse,always take the customer back to the starting point; leave the customer with a neighbour,"When the assistant is absent, the driver must stay with the customer until the assistant arrives (C). Returning to the start (A) is not always appropriate, and leaving them with a random neighbour (B) is unsafe.",Medium,assisted transport; assistant absent; duty of care,ai-draft,
Q095,Sähkömopo / esteetön kuljetus,M23,"Saako yli 15-vuotias asiakas matkustaa isossa esteettömässä ajoneuvossa siten, että hän pyörätuolin sijaan istuu nelipyöräisessä sähkömopossa (senioriskootteri)?",May a customer over 15 travel in a large accessible vehicle seated in a four-wheeled electric mobility scooter (senior scooter) instead of a wheelchair?,"Ei saa, koska sähkömopoa ei ole tarkoitettu asiakkaan kuljettamiseen taksissa.","No, because a mobility scooter is not intended for transporting a customer in a taxi.","Kyllä saa, jos sähkömopo on sijoitettu siten, että asiakas matkustaa selkä menosuuntaan.","Yes, if the scooter is positioned so the customer faces backward.","Kyllä saa, jos kuljettaja huolehtii asiakkaan sähkömopon oikeaoppisesta kiinnittämisestä ajoneuvoon.","Yes, if the driver ensures the mobility scooter is properly secured to the vehicle.",A,nelipyöräisessä sähkömopossa; pyörätuolin sijaan,in a four-wheeled electric mobility scooter; instead of a wheelchair,ei ole tarkoitettu asiakkaan kuljettamiseen taksissa,not intended for transporting a customer in a taxi,selkä menosuuntaan; oikeaoppisesta kiinnittämisestä ajoneuvoon,facing backward; properly secured to the vehicle,A mobility scooter is not approved for transporting passengers in a taxi (A). Facing backward (B) or securing it (C) do not change that; only purpose-approved devices may be used.,Hard,mobility scooter; not permitted; accessible vehicle,ai-draft,"CONTRAST with Q081, which marks C as correct (approved + properly secured = permitted). The two master answers conflict: Q095-A says a scooter is never permitted; Q081-C says it is if approved. Kept each question's master key and flagged. Confirm which position reflects current regulation."
Q096,Liikuntarajoitteinen / avustaja,M25,Liikuntavammaisella asiakkaalla saattaa olla mukanaan avustaja. Miten toimit tällöin?,A customer with a physical disability may have an assistant with them. How do you act in this case?,Keskustelet aina vain avustajan kanssa.,You always talk only with the assistant.,Keskustelet aina asiakkaan kanssa.,You always talk with the customer.,"Pyydät kirjalliset ohjeet siitä, kuinka tulee toimia.",You ask for written instructions on how to act.,B,Liikuntavammaisella asiakkaalla; avustaja,a customer with a physical disability; an assistant,Keskustelet aina asiakkaan kanssa,you always talk with the customer,Keskustelet aina vain avustajan kanssa; Pyydät kirjalliset ohjeet,you always talk only with the assistant; you ask for written instructions,"Always address the customer directly, not the assistant (B). Talking only to the assistant (A) is disrespectful; asking for written instructions (C) is unnecessary.",Easy,disability; communication; assistant; respect,ai-draft,
Q097,Kuuro / kuulovammainen,M26,Miten voit parantaa kommunikointia kuulovammaisen matkustajan kanssa?,How can you improve communication with a hearing-impaired passenger?,En mitenkään.,I cannot in any way.,Suosittelemalla asiakasta istumaan etuistuimelle.,By recommending the customer sit in the front seat.,Suosittelemalla asiakasta istumaan takaistumelle.,By recommending the customer sit in the back seat.,B,kuulovammaisen matkustajan kanssa,with a hearing-impaired passenger,istumaan etuistuimelle,sit in the front seat,En mitenkään; istumaan takaistumelle,I cannot in any way; sit in the back seat,"Sitting in the front seat lets the hearing-impaired passenger see the driver's face and lip-read more easily (B). The back seat (C) makes this harder, and doing nothing (A) is incorrect.",Easy,hearing impaired; front seat; communication,ai-draft,
Q098,Liikuntarajoitteinen / avustaja,M27,"Miten taksinkuljettajan tulee toimia, kun liikuntavammaisella asiakkaalla on ajoneuvon tavaratilaan meneviä matkatavaroita mukanaan ja hänellä on avustaja?",How should the taxi driver act when a customer with a physical disability has luggage to go in the vehicle's boot and they have an assistant?,Kuljettaja avustaa asiakasta ja avustajan tehtävänä on huolehtia matkatavaroiden lastaamisesta ja purkamisesta.,The driver assists the customer and the assistant's job is to handle loading and unloading the luggage.,"Kuljettaja odottaa autossa, koska avustajan tehtävä on avustaa asiakas ajoneuvoon sekä huolehtia matkatavaroista.","The driver waits in the car, because the assistant's job is to help the customer into the vehicle and handle the luggage.",Kuljettaja avustaa asiakasta ajoneuvoon ja huolehtii matkatavaroiden lastaamisesta ja purkamisesta.,The driver assists the customer into the vehicle and handles loading and unloading the luggage.,C,liikuntavammaisella asiakkaalla; avustaja,a customer with a physical disability; an assistant,Kuljettaja avustaa asiakasta ajoneuvoon; huolehtii matkatavaroiden lastaamisesta,the driver assists the customer into the vehicle; handles loading and unloading the luggage,avustajan tehtävänä on huolehtia matkatavaroi; Kuljettaja odottaa autossa,the assistant's job is to handle the luggage; the driver waits in the car,"The driver's duties include assisting the customer aboard and handling the luggage (C), regardless of whether an assistant is present. The assistant supports the customer but does not take over the driver's transport duties.",Medium,disability; luggage; driver duty; assistant,ai-draft,
Q099,Kela / vakiotaksi,M28,"Asiakas haluaa Kela-korvattavan kyydin, mutta et itse aja Kela-korvattavia kyytejä. Miten ohjaat asiakkaan?","A customer wants a Kela-reimbursed ride, but you do not run Kela-reimbursed rides yourself. How do you direct the customer?","Otat asiakkaan kyytiin, viet hänet määränpäähän ja pyydät häntä hakemaan Kelalta korvausta taksikyydistä.","You take the customer, drive them to their destination, and ask them to claim the reimbursement from Kela.",Neuvon asiakasta soittamaan oman alueensa Kelan tilausvälitysyhtiön palvelunumeroon.,I advise the customer to call the Kela dispatch company's service number for their area.,Kehotan Kela-kyytejä ajavaa kuljettajaa olemaan yhteydessä asiakkaaseen.,I tell a driver who runs Kela rides to contact the customer.,B,Kela-korvattavan kyydin; et itse aja Kela-korvattavia kyytejä,a Kela-reimbursed ride; you do not run Kela rides,soittamaan oman alueensa Kelan tilausvälitysyhtiön palvelunumeroon,call the Kela dispatch company's service number for their area,Otat asiakkaan kyytiin; Kehotan Kela-kyytejä ajavaa kuljettajaa,you take the customer anyway; I tell a Kela driver to contact them,The correct step is to direct the customer to the Kela dispatch number for their area (B). Taking them and asking for reimbursement later (A) is incorrect; having another driver contact them (C) is not the driver's role.,Medium,Kela; reimbursement; dispatch; customer guidance,ai-draft,
Q100,Kela / vakiotaksi,M31,Minkä osuuden asiakas maksaa Kela-kyydistä kuljettajalle?,What portion of the Kela ride does the customer pay to the driver?,Koko matkan hinnan.,The full fare.,Enintään omavastuun.,At most the co-payment.,Omavastuun ylittävän osuuden.,The portion exceeding the co-payment.,B,Kela-kyydistä; asiakas maksaa Kela-kyydistä kuljettajalle,Kela ride; the customer pays the driver,Enintään omavastuun,at most the co-payment,Koko matkan hinnan; Omavastuun ylittävän osuuden,the full fare; the portion exceeding the co-payment,In a Kela-reimbursed ride the customer pays only up to the co-payment (B); Kela covers the rest. The customer never pays the full fare (A) or the amount above the co-payment (C).,Medium,Kela; co-payment; fare,ai-draft,
Q101,Näkövammainen / opaskoira,M32,Mitä erityistä sinun tulee ottaa huomioon kuljettaessasi näkövammaista asiakasta?,What in particular must you take into account when transporting a visually impaired customer?,"Vaadit, että näkövammaisella asiakkaalla on avustaja mukana.",You require that the visually impaired customer has an assistant with them.,"Näkövammainen asiakas ei välttämättä tiedosta, mitä kuljetuksen aikana tapahtuu, joten hän voi pelätä kyydissä.","A visually impaired customer may not be aware of what is happening during the ride, so they may be frightened.","Näkövammainen asiakas ei välttämättä tiedosta, mitä kuljetuksen aikana tapahtuu, joten hän ei pelkää kyydissä.","A visually impaired customer may not be aware of what is happening during the ride, so they are not frightened.",B,näkövammaista asiakasta,a visually impaired customer,voi pelätä kyydissä; ei välttämättä tiedosta,may be frightened during the ride; may not be aware of what is happening,"Vaadit, että näkövammaisella asiakkaalla on avustaja mukana; hän ei pelkää kyydissä",you require them to have an assistant; they are not frightened,"A visually impaired person cannot see what is happening and may feel anxious (B). Demanding an assistant (A) is not your right, and assuming they never feel fear (C) ignores a real and common experience.",Easy,visually impaired; anxiety; awareness; communication,ai-draft,
