Question ID,Topic,Ref #,Question (FI),Question (EN),Option A (FI),Option A (EN),Option B (FI),Option B (EN),Option C (FI),Option C (EN),Correct (A/B/C),Focus words (FI),Focus words (EN),Positive clues (FI),Positive clues (EN),Negative clues (FI),Negative clues (EN),Explanation (EN),Difficulty,Tags,Status,Reviewer notes
Q149,Maksu / kuitti / hinta,M101,"Paljonko oheisen hinnaston mukaan on sunnuntaina ajettavan yhden henkilön kyydin kokonaishinta, kun matkan pituus on 20 km ja matka-aika on 30 minuuttia, eikä kiinteää hintaa sovita?","According to the attached price list, what is the total fare for a single-person ride on Sunday, when the distance is 20 km and the journey time is 30 minutes, and no fixed price is agreed?","65,00 €",€65.00,"74,00 €",€74.00,"83,00 €",€83.00,A,sunnuntaina; 20 km; 30 minuuttia,on Sunday; 20 km; 30 minutes,"65,00 €",€65.00,"74,00 €; 83,00 €",€74.00; €83.00,Based on the attached price list the Sunday fare for this distance and time is €65.00 (A).,Hard,fare calculation; Sunday; price list; review-flag,ai-draft,Fare-calculation question references a price list image/table not in the master content. The correct answer A is marked; the calculation must be verified against the actual exam schedule.
Q150,Asiakaspalvelu,M103,"Millä tavoin taksinkuljettajan tulee toimia liikenteessä, jotta hän täyttää tienkäyttäjän ennakointivelvollisuuden?",How must a taxi driver act in traffic to fulfil the road user's duty to anticipate?,Taksinkuljettajan on tienkäyttäjänä ennakoitava toisten tienkäyttäjien toimintaa.,"As a road user, the taxi driver must anticipate the actions of other road users.",Taksinkuljettajan on tienkäyttäjänä käytettävä vain moottorijarrutusta liikenteessä.,"As a road user, the taxi driver must use only engine braking in traffic.",Taksinkuljettajan on tienkäyttäjänä ammattinsa kautta keskityttävä vain asiakaspalveluun.,"As a road user, the taxi driver's professional role means focusing only on customer service.",A,ennakointivelvollisuuden,duty to anticipate,ennakoitava toisten tienkäyttäjien toimintaa,anticipate the actions of other road users,vain moottorijarrutusta; keskityttävä vain asiakaspalveluun,only engine braking; focusing only on customer service,The duty to anticipate means actively predicting how other road users will act (A). Engine-braking only (B) is arbitrary; focusing only on customer service (C) ignores traffic safety duties.,Easy,road user; anticipation; traffic safety,ai-draft,
Q151,Maksu / kuitti / hinta,M104,Mikä seuraavista on oikein liittyen kuittiin?,Which of the following is correct regarding the receipt?,Taksinkuljettajan on tienkäyttäjänä ennakoitava toisten tienkäyttäjien toimintaa.,"As a road user, the taxi driver must anticipate the actions of other road users.",Kuitin tarjoaminen asiakkaalle on pakollista.,Offering the customer a receipt is mandatory.,Kuljettajan tulee valita matkustajan kannalta edullisin ja tarkoituksenmukaisin reitti.,The driver must choose the most cost-effective and appropriate route for the passenger.,B,kuittiin,the receipt,Kuitin tarjoaminen asiakkaalle on pakollista,offering a receipt is mandatory,ennakoitava toisten tienkäyttäjien; edullisin ja tarkoituksenmukaisin reitti,anticipate other road users; most cost-effective route,The driver must offer the customer a receipt (B). Options A and C state correct rules but are unrelated to receipts — they are distractor content from other questions mixed in.,Easy,receipt; mandatory; review-flag,ai-draft,Options A and C in the master appear to be content from other questions (anticipation duty; route selection). This looks like a copy-paste error in the source. The correct answer B is clearly about receipts; flag for source correction.
Q152,Maksu / kuitti / hinta,M14,"Miten kuljettajan tulee toimia, kun hän huomaa perille päästyään, ettei saa asiakasta hereille matkan päätyttyä ja kyyti on maksamatta?","How should the driver act when, upon arrival, they cannot wake the customer at the end of the journey and the fare is unpaid?",Otetaan asiakkaan lompakosta maksukortti ja veloitetaan kyyti lähimaksulla.,Take the customer's payment card from their wallet and charge the fare by contactless payment.,Kuljettajan tulee puheella ensin yrittää herätellä asiakasta ja tarvittaessa soittaa poliisi paikalle.,"The driver must first try to wake the customer by speaking to them and, if needed, call the police.",Kirjoitetaan asiakkaalle lasku ja sijoitetaan se asiakkaan taskuun. Asiakas siirretään taksin ulkopuolelle heräilemään ja soitetaan poliisi paikalle.,Write the customer a bill and place it in their pocket. Move the customer outside the taxi to wake up and call the police.,B,asiakasta hereille; kyyti on maksamatta,wake the customer; the fare is unpaid,puheella ensin yrittää herätellä; soittaa poliisi paikalle,try to wake by speaking; call the police,lompakosta maksukortti; siirretään taksin ulkopuolelle,take the card from the wallet; move the customer outside the taxi,"First try to wake the customer verbally; if unsuccessful, call the police (B). Taking the card without consent (A) is theft; placing a bill in the pocket and dumping them outside (C) is unsafe.",Medium,unconscious passenger; unpaid fare; police,ai-draft,
Q153,Asiakaspalvelu,M16,"Mikä seuraavista on oikein, kun ulkona on pakkasta ja jätät asiakkaan hänen ilmoittamaansa osoitteeseen?",Which is correct when it is freezing outside and you drop the customer at the address they gave?,"Voit jatkaa matkaa, kun asiakas on poistunut taksista.",You may continue once the customer has left the taxi.,"Voit jatkaa matkaa, kun olet varmistunut, että asiakas on päässyt sisätilaan.",You may continue once you have made sure the customer has got indoors.,"Voit jatkaa matkaa, kun asiakas on päässyt pihalle.",You may continue once the customer has reached the yard.,B,ulkona on pakkasta,it is freezing outside,"varmistunut, että asiakas on päässyt sisätilaan",made sure the customer has got indoors,kun asiakas on poistunut taksista; kun asiakas on päässyt pihalle,once the customer has left the taxi; once the customer has reached the yard,In freezing conditions make sure the customer is safely indoors before leaving (B). Leaving the taxi (A) or reaching the yard (C) is insufficient.,Medium,drop-off; cold weather; safety,ai-draft,
Q154,Maksu / kuitti / hinta,M2,Milloin saat pysäyttää taksin maksulliselle pysäköintipaikalle maksua suorittamatta?,When may you stop a taxi in a paid parking space without paying?,Et koskaan.,Never.,Vain liikkumisesteistä asiakasta kyytiin ottaessasi tai kyydistä jättäessäsi.,Only when picking up or dropping off a customer with a mobility impairment.,Aina asiakasta kyytiin ottaessasi tai kyydistä jättäessäsi.,Always when picking up or dropping off a customer.,C,maksulliselle pysäköintipaikalle; maksua suorittamatta,in a paid parking space; without paying,Aina asiakasta kyytiin ottaessasi tai kyydistä jättäessäsi,always when picking up or dropping off a customer,Et koskaan; Vain liikkumisesteistä asiakasta,never; only for a customer with a mobility impairment,"A taxi may stop in a paid parking space without paying whenever picking up or dropping off a customer (C). It is not limited to mobility-impaired customers (B), and it is not never (A).",Medium,parking; pickup; drop-off; exception,ai-draft,
Q155,Muu / asiakastilanne,M29,"Mistä tunnistat, että asiakkaan mukana oleva koira on työkoira?",How do you recognise that the dog with the customer is a working dog?,Koira on vapaana.,The dog is loose.,Koiralla on heijastin.,The dog has a reflector.,Koiralla on tunnistevaljaat.,The dog has identifying harness.,C,koira on työkoira,the dog is a working dog,tunnistevaljaat,identifying harness,Koira on vapaana; heijastin,the dog is loose; a reflector,A working dog wears official identifying harness (C). Being loose (A) or wearing a reflector (B) is not a recognised marker.,Easy,working dog; harness; identification,ai-draft,
Q156,Puhelin / viestimet,M3,Mikä seuraavista on oikein liittyen puhelimen hands-free-laitteeseen?,Which of the following is correct regarding a hands-free device?,"Hands-free-laitetta ei tarvitse käyttää ajoneuvon liikkuessa, jos puhelu kestää alle minuutin.",A hands-free device is not required when the vehicle is moving if the call lasts under a minute.,"Kuljettaja saa ajoneuvon liikkuessa puhua puhelimeen hands-free-laitetta käyttäen, jos se on kuljetuksen suorittamiseksi välttämätöntä.","The driver may use the phone with a hands-free device while the vehicle is moving, if it is essential for carrying out the transport.","Jos taksissa ei ole asiakkaita, kuljettaja saa ajoneuvon liikkuessa puhua puhelimeen ilman hands-free-laitetta.","If there are no customers in the taxi, the driver may speak on the phone while the vehicle is moving without a hands-free device.",B,hands-free-laitteeseen,hands-free device,"hands-free-laitetta käyttäen, jos se on kuljetuksen suorittamiseksi välttämätöntä",using a hands-free device if essential for the transport,alle minuutin; ilman hands-free-laitetta,under a minute; without a hands-free device,A phone call while moving requires a hands-free device and must be necessary for the transport (B). Duration (A) and passenger absence (C) are not valid exceptions.,Medium,phone; hands-free; traffic law,ai-draft,
Q157,Keskustelu / palvelutapa,M50,Mikä seuraavista on hyvää asiakaspalvelua?,Which of the following is good customer service?,Kuljettaja tervehtii kohteliaasti ja on valmis keskustelemaan vain ajoreittiin liittyvistä asioista.,The driver greets politely and is ready to discuss only matters related to the route.,"Kuljettaja tervehtii kohteliaasti ja arvioi, haluaako asiakas keskustella, ja antaa asiakkaan päättää aiheesta.","The driver greets politely, gauges whether the customer wants to talk, and lets the customer choose the topic.",Kuljettaja tervehtii kohteliaasti ja aloittaa keskustelun itselleen mieluisesta aiheesta.,The driver greets politely and starts a conversation about a topic they personally enjoy.,B,hyvää asiakaspalvelua,good customer service,"arvioi, haluaako asiakas keskustella; antaa asiakkaan päättää aiheesta",gauges whether the customer wants to talk; lets the customer choose the topic,vain ajoreittiin liittyvistä asioista; itselleen mieluisesta aiheesta,only matters related to the route; a topic they personally enjoy,Good service means reading the customer and following their lead on conversation (B). Only discussing the route (A) is too restrictive; forcing your own topic (C) ignores the customer's preference.,Easy,customer service; conversation; social skills,ai-draft,
Q158,Asiakaspalvelu,M52,"Miten sinun tulee toimia, jos taksissasi matkustava asiakas käyttäytyy aggressiivisesti sinua kohtaan?",How should you act if a passenger in your taxi behaves aggressively toward you?,Käskeä häntä huutamalla käyttäytymään rauhallisesti.,Tell them loudly to behave calmly.,Käyttäytyä kuin et huomaisikaan hänen aggressiivisuuttaan.,Act as if you have not noticed their aggression.,Rauhoitella häntä puhumalla hänelle rauhallisesti ja ystävällisesti.,Try to calm them down by speaking to them calmly and kindly.,C,käyttäytyy aggressiivisesti,behaves aggressively,puhumalla hänelle rauhallisesti ja ystävällisesti,speaking calmly and kindly,huutamalla; kuin et huomaisikaan,telling them loudly; as if you had not noticed,Stay calm and respond gently to de-escalate (C). Shouting back (A) escalates the situation; ignoring it entirely (B) may allow it to escalate further.,Easy,aggressive passenger; de-escalation; calm response,ai-draft,
