Clue ID,Group,Phrase (FI),Meaning (EN),Effect (EN),Exception (EN)
clue-positive-w1,Positive clue words,poliisi / liikenteen valvoja / hätäkeskus,police / traffic controller / emergency centre / 112,"Positive when authority help is needed: accident, threat, unpaid fare, traffic control, or a person who cannot safely be left.",Do not call police for every ordinary customer-service problem; first use calm communication where safe.
clue-positive-w2,Positive clue words,varmistaa / varmistua / huolehtia,make sure / ensure / take care,"Usually points to the driver checking safety, destination, seat belt use, assisted handover, or customer comfort.","Not enough by itself if the option asks the driver to do something illegal, unsafe, or beyond the taxi-driver role."
clue-positive-w3,Positive clue words,kysyä / tiedustella / keskustella,ask / inquire / discuss / whether help is needed,"Positive when the driver asks before assisting, confirms wishes, route details, or a problem calmly.","If immediate emergency action is required, asking too much first may not be the best first step."
clue-positive-w4,Positive clue words,tarvittaessa auttaa / tarvittaessa avustaa / tarvittaessa,help/assist if necessary,Positive when help is offered respectfully without forcing the passenger.,Do not assume every passenger needs help; ask or observe first unless the situation is clearly urgent.
clue-positive-w5,Positive clue words,työnantaja / työnantajalta / selvität työnantajalta,employer / check with employer,"Positive when authorization, work assignment, regular-taxi arrangement, or company process must be confirmed.",Driver responsibility for immediate safety cannot be handed to employer after the ride has already started.
clue-positive-w6,Positive clue words,kela / palvelunumero / tilausvälitysyhtiö,Kela / service number / dispatch company,"Positive when the driver cannot personally decide Kela entitlement, regular-taxi rights, or suitable vehicle arrangement.",Do not replace official Kela/dispatch process with personal permission from the customer or guardian.
clue-positive-w7,Positive clue words,turvallinen / turvallisesti / turvallisuus,safe / safely / safety,"Strong positive clue when the answer protects the passenger, road users, or the driver.",Check whether the option is practical and legal; a broad safety word can still be wrong if it ignores a specific rule.
clue-positive-w8,Positive clue words,alkolukko / asennettu alkolukko / estyy,alcohol interlock / installed / prevents starting,Positive in school/day-care transport context where the vehicle must have an alcohol interlock.,Not every taxi requires an alcohol interlock; the school/day-care transport context matters.
clue-positive-w9,Positive clue words,kohteliaasti / asiallisesti / rauhallisesti,politely / appropriately / calmly / kindly,"Positive in customer service, complaints, aggression, and passenger comfort situations.","Politeness cannot override legal/safety duties such as seat belts, safe stopping, or accident response."
clue-positive-w10,Positive clue words,oikeaan määränpäähän / määränpäähän / määränpäähän,right destination / sufficient language skill / communicate,Positive when the driver’s duty is ensuring the customer reaches the correct destination safely.,Sufficient language skill does not mean fluent conversation or same-language ability.
clue-positive-w11,Positive clue words,viipymättä / mahdollisimman pian / heti,without delay / as soon as possible / immediately,"Usually positive for lost property, emergency response, safety reporting, and urgent assistance.","Time words are not enough if the action itself is wrong, such as abandoning a passenger quickly."
clue-positive-w12,Positive clue words,välttämätön / tarpeellinen / kuljetuksen suorittamiseksi välttämätön,necessary / necessary for carrying out the transport,Positive for phone/hands-free or communication only when it is genuinely needed for the transport.,"Necessary does not permit speeding, unsafe stopping, or illegal customer requests."
clue-positive-w13,Positive clue words,handsfree / handsfree-laite / viestimet,hands-free / communication devices / making a call,"Positive only when communication is necessary and safe, especially with hands-free while driving.","Handheld phone use, messaging, or personal calls during transport are generally negative clues."
clue-positive-w14,Positive clue words,sisälle / sisätilaan / kotiovesta sisään,inside / indoors / received by staff/assistant,"Positive in questions about children, vulnerable customers, freezing weather, care institutions, or agreed assistants.",Do not expand this into medical/nursing tasks such as undressing or personal care unless specifically required and appropriate.
clue-positive-w15,Positive clue words,asianmukainen / asianmukaisessa / hyväksytty,appropriate / approved / suitable,"Positive for child restraints, seat belts, vehicles, equipment, and safe customer transport.",Still check the specific object: a suitable taxi or approved restraint is different from any improvised solution.
clue-positive-w16,Positive clue words,edullisin tarkoituksenmukainen reitti / tarkoituksenmukainen reitti / edullisin,most economical / appropriate route,Positive when passenger leaves route choice to the driver or asks for route advice.,Do not blindly choose any route; customer preference and fairness matter.
clue-positive-w17,Positive clue words,hengitysteiden avaaminen / hengitystiet / kylkiasento,open airways / airways / recovery position / first aid,Positive in first-aid and seizure/accident questions.,Do not physically restrain convulsions or move an injured person unless necessary to save life/prevent further danger.
clue-positive-w18,Positive clue words,opaskoira / työkoira / tunnistevaljaat,guide dog / working dog / identifying harness,Positive in special-needs questions about guide dogs and working dogs.,"Do not distract, pet, or treat the guide dog as a normal pet during the job."
clue-positive-w19,Positive clue words,kuitti / kuitin tarjoaminen / annettava kuitti,receipt / offering or giving a receipt,Positive because receipt must be offered/given after the ride/payment.,Receipt duty is separate from payment disputes; do not take a customer’s card or property by yourself.
clue-positive-w20,Positive clue words,noudattaa / määräyksiä / liikenteen valvoja,obey/follow orders / traffic controller,Positive when official traffic instructions override conflicting informal instructions.,"Employer/customer instructions do not override police, traffic controller, or road rules."
clue-positive-w21,Positive clue words,rungosta / neljästä pisteestä / jarrut päälle,by frame / four points / brakes on,Strong positive clue for securing a wheelchair safely in an accessible taxi.,Wheelchair brakes alone or normal seat belt alone are not enough for wheelchair securing.
clue-positive-w22,Positive clue words,ajopäiväkirja / ajopäiväkirja / työvuoron aloitus,driving logbook / shift start / break times,Positive in work-time and driving-logbook duty questions.,Do not include irrelevant personal details such as meals unless the law/company rule specifically asks.
clue-positive-w23,Positive clue words,omavastuu / enintään omavastuu,deductible / at most the deductible,Positive in Kela-ride payment questions.,Only applies when the ride is properly ordered as a Kela ride through the correct process.
clue-positive-w24,Positive clue words,koekäyttämällä / koekäyttää / henkilönostin,test-operating / passenger lift,Positive for accessible-taxi pre-departure equipment checks.,A visual check alone may be too weak if the question asks how to check the lift.
clue-positive-w25,Positive clue words,turvatyyny pois päältä / turvatyyny / airbag,airbag switched off,Positive clue for rear-facing child restraint on the front passenger seat.,Airbag clue is context-specific; it does not remove normal child-restraint and seat-belt duties.
clue-positive-w26,Positive clue words,vastuullinen / roolimalli / esimerkillinen,responsible / role model / exemplary,Positive in school/day-care transport and general professional behaviour.,Being friendly or role-model-like still does not mean doing parent/school duties outside the driver role.
clue-negative-w1,Negative clue words,aina / aina silloin,always,Can be suspicious because it may make an option too absolute.,"Often correct where the rule truly is absolute in that context, such as always using proper alkolukko in school/day-care transport or always offering receipt."
clue-negative-w2,Negative clue words,vain / ainoastaan,only,"Often too narrow when it limits a duty too much, such as only front seat, only customer service, only visual check.",Can be correct in questions about strict legal limits or defined exceptions.
clue-negative-w3,Negative clue words,ilman / kiinnittämättä / maksamatta,without / without doing,"Often negative when it means without seat belt, restraint, hands-free, payment, checking, or permission.","Can be neutral as context, for example “without advance booking”; do not judge this word alone."
clue-negative-w4,Negative clue words,ei tarvitse / ei tarvi / tarvitse käyttää,does not need to,"Often wrong when it removes a safety, seat-belt, equipment, or service duty.","Can be correct when the law truly gives no duty in that exact context, so check who is responsible and the question wording."
clue-negative-w5,Negative clue words,kiire / kiireinen / myöhässä,hurry / busy / late / delay,"Negative if used to justify speeding, unsafe stopping, or breaking traffic rules.","Positive answer usually explains the delay, chooses the fastest legal route, and keeps the customer updated."
clue-negative-w6,Negative clue words,jos asiakas pyytää / asiakas pyytää / pyytää ajamaan ylinopeutta,if customer asks,"Customer request never permits speeding, unsafe stopping, illegal purchase, or abandoning safety duties.","Customer request can be valid for normal preferences, route selection, seat choice, or assistance style."
clue-negative-w7,Negative clue words,ei koskaan / missään tilanteessa / voi koskaan,never / in no situation,Often too absolute and therefore wrong.,"Can be correct for clearly prohibited behaviour, such as handheld phone use or illegal alcohol-purchase requests."
clue-negative-w8,Negative clue words,ilman turvalaitetta / turvalaitetta ei / turvalaite ei,without safety restraint/device,Usually negative for children and accessibility safety.,Taxi child-seat exceptions are narrow; under-3 and under-135 contexts need careful rule checking.
clue-negative-w9,Negative clue words,poikkeus / poikkeusajo / poikkeustapauksessa,exception / exceptional driving,"Often suspicious when used to justify bypassing alkolukko, stopping rules, or phone rules.","Some legal exceptions exist, but they must be explicitly stated and not invented by the driver."
clue-negative-w10,Negative clue words,jättää / hylkää / jätät huomiotta,leave / abandon / ignore / continue normally,"Negative when safety, child, special-needs, accident, or lost-property duty exists.",Can be correct only after you have ensured the customer/property/situation is safely handled.
clue-negative-w11,Negative clue words,vapaaehtoista / vapaaehtoinen,voluntary / optional,"Usually wrong for seat belt, receipt, and mandatory driver duties.","Some customer choices are voluntary, but legal safety and service duties are not."
clue-negative-w12,Negative clue words,ylinopeus / ylinopeutta / ylittää nopeusrajoitus,speeding / exceed speed limit / speeding fines,Strong negative clue: hurry or customer promise to pay fines never allows speeding.,Emergency vehicles/legal emergency rules do not apply to ordinary taxi rides.
