Question ID,Topic,Ref #,Question (FI),Question (EN),Option A (FI),Option A (EN),Option B (FI),Option B (EN),Option C (FI),Option C (EN),Correct (A/B/C),Focus words (FI),Focus words (EN),Positive clues (FI),Positive clues (EN),Negative clues (FI),Negative clues (EN),Explanation (EN),Difficulty,Tags,Status,Reviewer notes
Q240,Ajotapa / nopeus / turvaväli,M11,"Miten toimit, kun kyydissä oleva asiakas pyytää ajamaan ylinopeutta?",How do you act when the passenger asks you to speed?,"Kerrot asiakkaalle, ettet voi ajaa ylinopeutta, koska asetettua nopeusrajoitusta ei saa ylittää.",You tell the customer you cannot speed because the set speed limit must not be exceeded.,"Kerrot asiakkaalle, että voit ajaa ylinopeutta, jos asiakkaan kanssa on sovittu, että hän ottaa vastattavakseen mahdolliset oikeudelliset seuraamukset.",You tell the customer you can speed if they agree to take responsibility for any legal consequences.,"Kerrot asiakkaalle, ettet voi ajaa ylinopeutta, koska tieliikennelain mukaan ylinopeuden ajaminen on sallittua vain kiireellisissä sairaustapauksissa.",You tell the customer you cannot speed because under the Road Traffic Act speeding is permitted only in urgent medical cases.,A,ajamaan ylinopeutta,to speed,nopeusrajoitusta ei saa ylittää,the speed limit must not be exceeded,hän ottaa vastattavakseen; vain kiireellisissä sairaustapauksissa,they take responsibility; only in urgent medical cases,"You cannot speed — the limit must not be exceeded, full stop (A). No customer agreement transfers legal responsibility to the customer (B), and C invents a false emergency exception.",Easy,speeding; speed limit; illegal,ai-draft,
Q241,Hätätilanne / poliisi / ensiapu,M13,Miksi avun hälyttämiseen onnettomuuspaikalle kannattaa käyttää 112 Suomi -mobiilisovellusta?,Why is it recommended to use the 112 Suomi mobile app to call for help at an accident scene?,Hätäpuhelu menee sillä nopeimmin läpi.,Emergency calls go through faster with it.,Hätäkeskus saa sen kautta automaattisesti tiedon onnettomuuspaikan sijainnista.,The emergency centre automatically receives the accident location through it.,Soittaminen sen kautta on halvempaa.,Calling through it is cheaper.,B,112 Suomi -mobiilisovellusta,the 112 Suomi mobile app,automaattisesti tiedon onnettomuuspaikan sijainnista,automatically receives the accident location,nopeimmin läpi; halvempaa,fastest connection; cheaper,"The app transmits GPS location automatically to the emergency centre (B), saving critical time when you may not know the exact address.",Easy,emergency; 112 app; GPS location,ai-draft,
Q242,Hätätilanne / poliisi / ensiapu,M17,"Kenen antamia liikennemääräyksiä tulee noudattaa, kun reitillä on liikenteen ohjaaja?",Whose traffic directions must you follow when there is a traffic controller on your route?,Traficomin.,Traficom's.,Tietyömaan urakoitsijan.,The road-works contractor's.,Liikenteen valvojan.,The traffic controller's.,C,liikenteen ohjaaja,a traffic controller,Liikenteen valvojan,the traffic controller's,Traficomin; Tietyömaan urakoitsijan,Traficom's; the contractor's,An on-site traffic controller's directions override static signs and must be obeyed (C). Traficom sets regulations; a contractor has no traffic-direction authority.,Easy,traffic controller; authority; road works,ai-draft,OCR RECONSTRUCTION: source question was cut off ('kun reitillä on'); reconstructed to include 'liikenteen ohjaaja' from context.
Q243,Liikennemerkki / pysähtyminen,M19,Milloin saat ajaa taksilla moottoriajoneuvolla ajo kielletty -liikennemerkillä merkityllä kadulla?,When may you drive a taxi on a street marked with a 'no motor vehicles' sign?,Kun olet menossa kadun varrella olevalle kiinteistölle.,When you are going to a property on that street.,Taksilla on läpiajo-oikeus.,A taxi has a right of passage through.,Et koskaan.,Never.,A,moottoriajoneuvolla ajo kielletty,no motor vehicles sign,menossa kadun varrella olevalle kiinteistölle,going to a property on that street,Taksilla on läpiajo-oikeus; Et koskaan,a taxi has passage rights; never,"A 'no motor vehicles' sign allows access to properties on that street (A). Taxis have no general right of passage (B), and it is not a total prohibition (C).",Medium,traffic sign; no motor vehicles; property access,ai-draft,
Q244,Hätätilanne / poliisi / ensiapu,M46,Missä tilanteessa liikenneonnettomuudessa loukkaantunut henkilö tulee siirtää onnettomuuspaikalta?,In which situation must an injured person be moved from the accident scene?,Aina jos se on loukkaantuneen hengen pelastamiseksi välttämätöntä.,Always if it is necessary to save the injured person's life.,Henkilö on siirrettävä aina.,The person must always be moved.,Aina jos henkilö on loukkaantuneena ajoneuvon sisällä.,Always if the person is injured inside the vehicle.,A,loukkaantunut henkilö tulee siirtää,moving an injured person,loukkaantuneen hengen pelastamiseksi välttämätöntä,necessary to save their life,siirrettävä aina; Aina jos henkilö on loukkaantuneena ajoneuvon sisällä,must always be moved; always if inside the vehicle,Only move an injured person if their life depends on it (A). Otherwise moving risks spinal injury. 'Always' (B) and 'always if inside the vehicle' (C) ignore that risk.,Medium,accident; first aid; moving injured,ai-draft,
Q245,Liikennemerkki / pysähtyminen,M61,"Miten toimit, kun saavut noutamaan asiakasta ja huomaat hänen odottavan pysähtymiskieltomerkin vaikutusalueella?",How do you act when you arrive to pick up a customer and they are waiting within the area of a no-stopping sign?,"Et voi pysähtyä, joten poistut paikalta ilman asiakasta ja hylkäät kyydin.","You cannot stop, so you leave without the customer and abandon the ride.",Pysäytät autosi sallittuun paikkaan ja menet tarvittaessa kävellen ohjaamaan asiakkaan kyytiin.,"You stop your car in a permitted place and, if needed, walk over to guide the customer to the taxi.","Otat asiakkaan kyytiin, koska taksikyyti on poikkeusajoa, joten kieltomerkki ei koske taksia.","You pick the customer up because taxi transport is exempt driving, so the prohibition does not apply.",B,pysähtymiskieltomerkin vaikutusalueella,within the area of a no-stopping sign,sallittuun paikkaan; kävellen ohjaamaan asiakkaan kyytiin,a permitted place; walk to guide the customer,hylkäät kyydin; kieltomerkki ei koske taksia,abandon the ride; sign does not apply to taxis,Stop legally and walk to the customer if needed (B). Abandoning (A) and claiming taxis are exempt from stopping rules (C) are both wrong.,Medium,no-stopping; pickup; traffic rules,ai-draft,
Q246,Liikennemerkki / pysähtyminen,M63,Ajaessasi taksia saatko ajaa ajoneuvon kyseisen liikennemerkin vaikutusalueelle?,"When driving a taxi, may you drive into the area of a given traffic sign (indicating restricted access)?",Aina ajaessani taksia.,Always when I am driving a taxi.,Vain jos asiakkaalla on painavia matkatavaroita.,Only if the customer has heavy luggage.,Aina jos noudan tai tuon asiakkaan.,Always if I am picking up or dropping off a customer.,C,liikennemerkin vaikutusalueelle,area of the traffic sign,Aina jos noudan tai tuon asiakkaan,always if picking up or dropping off a customer,Aina ajaessani taksia; Vain jos asiakkaalla on painavia matkatavaroita,always when driving a taxi; only if heavy luggage,Picking up or dropping off a customer grants access to areas with restricted signs (C). A blanket taxi exemption (A) does not exist; luggage weight (B) is irrelevant.,Medium,traffic sign; restricted zone; pickup; drop-off,ai-draft,
Q247,Liikennemerkki / pysähtyminen,M65,Ajaessasi taksia saatko ajaa ajoneuvon kyseisen liikennemerkin vaikutusalueelle?,"When driving a taxi, may you drive into the area of a given traffic sign (indicating restricted access)?",Aina ajaessani taksia.,Always when I am driving a taxi.,Vain jos asiakkaalla on painavia matkatavaroita.,Only if the customer has heavy luggage.,Aina jos noudan tai tuon asiakkaan.,Always if I am picking up or dropping off a customer.,C,liikennemerkin vaikutusalueelle,area of the traffic sign,Aina jos noudan tai tuon asiakkaan,always if picking up or dropping off,Aina ajaessani taksia; painavia matkatavaroita,always; heavy luggage,Pickup or drop-off grants access (C).,Medium,traffic sign; restricted zone; pickup; drop-off,ai-draft,
Q248,Hätätilanne / poliisi / ensiapu,M67,"Miten toimit, kun saavut ensimmäisenä liikenneonnettomuuspaikalle ja kyydissäsi on asiakas?",How do you act when you are the first to arrive at a traffic accident scene and you have a customer on board?,Viet asiakkaan ensin määränpäähän ja palaat sen jälkeen onnettomuuspaikalle.,You take the customer to their destination first and return to the accident scene afterwards.,Asiakkaan matkustusturvallisuuden takaamiseksi et voi pysähtyä onnettomuuspaikalle.,"To guarantee the customer's travel safety, you cannot stop at the accident scene.",Pysähdyt onnettomuuspaikalle ja teet tilannearvion ja sen mukaiset toimenpiteet.,"You stop at the accident scene, assess the situation, and take the appropriate action.",C,ensimmäisenä liikenneonnettomuuspaikalle,first to arrive at an accident scene,Pysähdyt onnettomuuspaikalle ja teet tilannearvion,"stop, assess, and act",Viet asiakkaan ensin määränpäähän; et voi pysähtyä,take the customer first; you cannot stop,"You must stop, assess, and act — the legal and moral duty to assist overrides the current journey (C).",Medium,accident; first responder; duty to assist,ai-draft,
Q249,Ajoneuvo / lupavelvoitteet,M68,Koskeeko liikenteen palveluista annettu laki (laatuvaatimukset) taksiyrittäjää?,Does the Transport Services Act (quality requirements) apply to taxi operators?,Laatuvaatimukset koskevat ainoastaan taksiluvan haltijaa.,Quality requirements apply only to the taxi licence holder.,Laatuvaatimukset koskevat jokaista taksinkuljettajaa.,Quality requirements apply to every taxi driver.,"Laatuvaatimukset koskevat ainoastaan niitä yrittäjiä, joilla on enemmän kuin kaksi työntekijää.",Quality requirements apply only to operators with more than two employees.,B,laatuvaatimukset,quality requirements,koskevat jokaista taksinkuljettajaa,apply to every taxi driver,ainoastaan taksiluvan haltijaa; enemmän kuin kaksi työntekijää,only the licence holder; more than two employees,Quality requirements apply to every taxi driver (B).,Medium,quality requirements; Transport Services Act,ai-draft,
